id,companyId,nome,criadoPor,createdAt
1,60002,Avaliação Clínica,Myrielle Fialho Borges Arcanjo,2026-02-28 18:17:23
2,60002,Avaliação Psicossocial,Myrielle Fialho Borges Arcanjo,2026-02-28 18:18:47
3,60002,Consulta Médica,Myrielle Fialho Borges Arcanjo,2026-02-28 18:29:01
4,60002,Mercúrio Urinário,Myrielle Fialho Borges Arcanjo,2026-02-28 21:03:53
30001,60004,Avaliação Clínica,Myrielle Fialho Borges Arcanjo,2026-03-05 14:04:42
30002,60004,Fazes Parasitológicas,Myrielle Fialho Borges Arcanjo,2026-03-05 14:06:34
30003,60004,Micológico de Unhas,Myrielle Fialho Borges Arcanjo,2026-03-05 14:15:52
30004,60005,Avaliação Clínica,Myrielle Fialho Borges Arcanjo,2026-03-05 17:19:50
30005,60005,Avaliação Pssicossocial,Myrielle Fialho Borges Arcanjo,2026-03-05 17:24:16
30006,60005,Avaliação Psicossocial,Myrielle Fialho Borges Arcanjo,2026-03-05 17:24:57
30007,90001,Avaliação Clínica,Myrielle Fialho Borges Arcanjo,2026-03-05 17:39:40
30008,90001,Avaliação Psicossocial,Myrielle Fialho Borges Arcanjo,2026-03-05 17:40:42
