id,employeeId,skillId,companyId,nivel,tempoExperiencia,observacao,deleted_at,created_at,updated_at
1,1410014,1,60004,Avancado,3 anos,,,2026-03-10 16:37:28,2026-03-10 16:37:28
2,420064,3,60002,Intermediario,5 meses,,,2026-03-10 18:17:33,2026-03-10 21:33:34
3,420156,3,60002,Intermediario,5 meses,,,2026-03-10 18:17:33,2026-03-10 21:33:16
4,1200008,3,60002,Intermediario,5 meses,,,2026-03-10 18:17:33,2026-03-10 21:33:06
5,420157,3,60002,Intermediario,5 meses,.,,2026-03-10 18:17:33,2026-03-10 21:34:12
6,420057,3,60002,Intermediario,5 meses,,,2026-03-10 18:17:34,2026-03-10 21:33:48
7,420158,3,60002,Intermediario,5 meses,,,2026-03-10 18:17:34,2026-03-10 21:33:27
8,420165,2,60002,Basico,,,2026-03-10 22:24:51,2026-03-10 18:26:05,2026-03-10 22:24:51
9,420178,3,60002,Intermediario,5 meses,,,2026-03-10 18:32:08,2026-03-10 21:33:22
10,1200006,4,60002,Basico,,,,2026-03-10 18:33:02,2026-03-10 18:33:02
11,420180,4,60002,Basico,,,,2026-03-10 18:33:02,2026-03-10 18:33:02
12,420057,4,60002,Basico,,,,2026-03-10 18:33:02,2026-03-10 18:33:02
13,420082,4,60002,Basico,,,,2026-03-10 18:33:02,2026-03-10 18:33:02
14,1200008,4,60002,Basico,,,,2026-03-10 18:33:02,2026-03-10 18:33:02
