id,companyId,epiId,obraId,quantidade,createdAt,updatedAt,criado_por,alterado_por
1,60002,690034,90001,9,2026-03-05 10:12:38,2026-03-12 18:48:53,,
2,60002,690038,90001,18,2026-03-05 10:18:57,2026-03-05 11:42:25,,
3,60002,690001,90001,26,2026-03-05 10:20:42,2026-03-10 12:54:28,,
4,60002,690020,90001,8,2026-03-05 10:24:57,2026-03-05 10:24:57,,
5,60002,690040,90001,142,2026-03-05 10:30:17,2026-03-05 10:30:17,,
6,60002,690033,90001,28,2026-03-05 10:33:51,2026-03-12 14:27:35,,
7,60002,690007,90001,1,2026-03-05 10:42:03,2026-03-05 10:42:03,,
8,60002,1020006,90001,3,2026-03-05 11:11:04,2026-03-05 11:11:04,,
9,60002,1020011,90001,1,2026-03-05 11:16:29,2026-03-05 11:16:29,,
10,60002,1020013,90001,2,2026-03-05 11:18:05,2026-03-05 11:18:05,,
11,60002,1380004,90001,8,2026-03-05 11:21:33,2026-03-05 11:21:33,,
12,60002,1380005,90001,4,2026-03-05 11:24:38,2026-03-12 14:35:15,,
13,60002,690040,90004,23,2026-03-05 16:25:24,2026-03-09 17:15:30,RODNEI ALEXANDRE DOS SANTOS SILVA,
14,60002,690038,90004,1,2026-03-05 16:26:24,2026-03-05 16:26:24,RODNEI ALEXANDRE DOS SANTOS SILVA,
15,60002,690036,90004,8,2026-03-05 16:28:07,2026-03-05 16:28:07,RODNEI ALEXANDRE DOS SANTOS SILVA,
16,60002,690001,90004,11,2026-03-05 16:29:56,2026-03-05 16:29:56,RODNEI ALEXANDRE DOS SANTOS SILVA,
30001,60002,1050007,90004,0,2026-03-09 16:46:07,2026-03-09 17:41:32,RODNEI ALEXANDRE DOS SANTOS SILVA,
30002,60002,1050008,90004,5,2026-03-09 16:47:11,2026-03-10 12:47:27,RODNEI ALEXANDRE DOS SANTOS SILVA,
30003,60002,690052,90004,10,2026-03-09 16:53:17,2026-03-09 16:53:17,RODNEI ALEXANDRE DOS SANTOS SILVA,
30004,60002,1020013,90004,17,2026-03-09 16:57:57,2026-03-09 16:57:57,RODNEI ALEXANDRE DOS SANTOS SILVA,
30005,60002,690049,90004,17,2026-03-09 16:59:00,2026-03-09 16:59:00,RODNEI ALEXANDRE DOS SANTOS SILVA,
30006,60002,690033,90004,9,2026-03-09 17:13:21,2026-03-09 17:13:21,RODNEI ALEXANDRE DOS SANTOS SILVA,
30007,60002,690024,90004,1,2026-03-09 17:14:57,2026-03-09 17:14:57,RODNEI ALEXANDRE DOS SANTOS SILVA,
30008,60002,1380004,90004,5,2026-03-09 17:20:32,2026-03-09 17:20:32,RODNEI ALEXANDRE DOS SANTOS SILVA,
30009,60002,690042,90004,1,2026-03-09 17:21:38,2026-03-09 17:21:38,RODNEI ALEXANDRE DOS SANTOS SILVA,
30010,60002,1050007,90005,5,2026-03-09 17:41:32,2026-03-09 17:41:32,RODNEI ALEXANDRE DOS SANTOS SILVA,
60001,60002,690033,270001,0,2026-03-12 13:37:45,2026-03-12 13:38:19,RODNEI ALEXANDRE DOS SANTOS SILVA,
90001,60002,1440001,90004,12,2026-03-13 14:16:43,2026-03-13 16:29:29,RODNEI ALEXANDRE DOS SANTOS SILVA,
90002,60002,1440001,270001,10,2026-03-13 14:17:24,2026-03-13 14:17:24,RODNEI ALEXANDRE DOS SANTOS SILVA,
